cond,mask_pct,rule_pooled,head_pooled,head_cm,rule_cm,head_recall,rule_recall,head_prec,rule_prec,channels
F11,0.6417411,1.0,0.9286513721516102,1.0,1.0,0.7246376811594203,1.0,0.9259259259259259,0.32242990654205606,PM0_A|PM0_B|SAT_GTI
F12,1.7299106,1.0,0.9466405736395295,1.0,1.0,0.7043010752688172,1.0,0.9776119402985075,0.510989010989011,PM0_A
F13,17.178198,1.0,0.9936206854096982,0.9983043349900168,1.0,0.9740119112073633,1.0,0.8968095712861416,0.9442740286298569,PM1|PM0_B|IRR1|IRR2|IRR2_T|SAT_GTI
F21,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,
F22,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,
F23,2.483259,0.9272534867895816,0.7647429268493068,0.928922521185466,0.8584998199100062,0.2247191011235955,0.8576779026217228,1.0,0.6361111111111111,PM1|PM0_A|PM0_B
F31,0.009300595,1.0,0.7310017672774626,1.0,1.0,0.0,1.0,0.0,0.00684931506849315,PM0_A
F32,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,
F33,0.046502978,1.0,0.9455475946775844,1.0,1.0,0.8,1.0,0.8,0.04065040650406504,PM0_A|PM0_B|IRR2|IRR2_T|SAT_GTI
F41,19.773066,0.4541247238925657,0.9670653752171071,0.51002650104998,0.5002063745454598,0.0014111006585136407,0.0,0.75,0.0,IRR1|IRR2
F42,24.720982,0.5094342937750059,0.997956897723383,0.5145611364789447,0.5844748858447488,0.3126410835214447,0.0,0.9952095808383233,0.0,IRR1
F43,24.786087,0.5196914604334523,0.9989818509822008,0.6057233953515195,0.5789889869255647,0.2697936210131332,0.0,0.9944674965421854,0.0,IRR1|IRR2
F51,19.605654,0.4403021213560733,0.29177953667173906,0.45173395275796635,0.4968985146895243,0.0,0.007590132827324478,0.0,0.1103448275862069,PM0_A|PM0_B
F52,22.84226,0.4346152849456117,0.2830554499794257,0.5491758396046276,0.5010179153094463,0.0,0.002035830618892508,0.0,0.028089887640449437,PM0_A|PM0_B
F53,23.921131,0.4510524284470335,0.2886785753668432,0.5692403603796857,0.5031104199066874,0.0,0.006220839813374806,nan,0.1415929203539823,PM0_A|PM0_B
F6a1,100.0,nan,nan,nan,nan,0.0003720238095238095,0.013485863095238096,1.0,1.0,
F6a2,100.0,nan,nan,nan,nan,0.0008370535714285714,0.016555059523809524,1.0,1.0,
F6a3,100.0,nan,nan,nan,nan,0.004557291666666667,0.10984002976190477,1.0,1.0,
F6b1,12.5,0.5719043569808876,0.3880126874038306,nan,nan,0.0,0.0,0.0,0.0,
F6b2,12.5,0.6464917300625608,0.44976270828271786,nan,nan,0.0,0.0,0.0,0.0,
F6b3,12.5,0.8361994746745425,0.5204665292456269,nan,nan,0.0,0.20535714285714285,nan,0.7095115681233933,
